a (an)|一（个）
hey|嘿，喂
hi|嘿，喂，你好
hide|隐藏
high|高高地
high-speed|高速的
highway|公路
hike|徒步旅行，远足
hill|小山
him|他；它（指雄性动物）
his|他的
history|历史
hit|撞击，碰撞
hobby|业余爱好，嗜好
hole|洞，孔，坑
holiday|假期
home|家
homework|家庭作业，功课
hooray|好哇
hope|希望
horn|角
horse|马
horseback|马背
hospital|医院
hot|热的
hot dog|热狗
hour|小时
house|房屋，房子
how|多少；怎样，如何
huge|巨大的
human|人
hungry|饥饿的
hunt|搜寻，寻找
hunter|猎人
hurry|赶紧，匆忙
hurt|痛苦的
ice|冰
ice cream|冰激凌，雪糕
ID|身份证明
idea|主意；想法，主意
if|如果
ill|生病的
important|重要的，重大的
in|在……里
information|资料；消息
insect|昆虫
inside|往里面
inspire|鼓舞，激励
instrument|乐器
interested|表现出兴趣的
interesting|有趣的，吸引人的
internet|因特网
invention|发明（物）
it|它
its|它的
January|一月
jewel|珠宝首饰
job|任务，事情
join|成为……的一员，加入；参与，加入
journey|旅行
joy|喜悦
juice|汁
jump|跳
June|六月
just|就，只是
kangaroo|袋鼠
keeper|看守人，保管人
kid|小孩，儿童
kind|亲切的；友好的；善良的
kindness|好意；体贴
king|国王
kitchen|厨房
kite|风筝
know|认识；知道，了解
lab|实验室
ladder|梯子
lake|湖，湖泊
lamp|灯
last|最近的，最近一次的
later|之后
laugh|发出笑声，（大）笑
leaf|叶，叶子
learn|学习
left|向左，朝左
leg|腿
lesson|课，课程
let us|让我们
letter|信，函
library|图书室；图书馆
life|一生，生活
lightning|闪电
like|喜欢
line|线，线条
lion|狮子
listen|听
litter|垃圾；乱扔垃圾
little|小的
live|住，居住
living room|客厅
local|当地的，本地的
long|长的
look|看，瞧，望
lose|失去
lost and found|失物招领
lotus|莲花，荷花
loud|响亮地；大声的，喧闹的
loudly|大声地
love|爱，关爱
lovely|美好的；令人愉快的；可爱的
luck|好运，幸运
lucky|幸运的
lunch|午餐
lunchtime|午餐时间
magic|魔术，戏法
magical|神奇的；有魔力的
make|制作
man|成年男子，男人
mantis|螳螂
many|许多；大量
map|地图
March|三月
mask|面具
matchstick|火柴杆，火柴棍
matter|事情，问题
may|可以（表示允许某人做某事）
me|我
measure|测量
meat|肉
meet|认识，结识
memory|回忆
message|消息
miaow|咪，喵（猫叫声）
middle|中间
milk|奶，牛奶
million|百万
minute|分钟
mirror|镜子
miss|思念，想念；想念，思念，怀念（某人）
mission|任务
model|（尤指可拼装的）模型
Monday|星期一
money|钱
monkey|猴
month|一个月
more|更多的
morning|早晨，上午
most|最
mountain|高山
mouse|老鼠
mouth|嘴，口
move|移动
movement|运动
Mr|先生
Ms|女士
much|大量
mum (mother)|妈妈
mummy|妈妈
museum|博物馆，博物院
music|音乐
must|必须
my|我的
myself|我自己
mystery|悬疑（推理）故事
name|名字
nation|民族
National Day|国庆节
natural|自然的，天然的
nature|大自然
naughty|淘气的，顽皮的，不听话的
near|（距离）近的
neck|颈，脖子
need|需要
nervous|神经紧张的
never|决不，永不
new|新的
next|（时间）紧接着的；下次的
next to|紧靠着
nice|令人愉快的
nicely|令人满意地；令人愉快地
night|夜间，夜晚
night owl|夜猫子，喜欢熬夜的人
nine|九
no|不，不行
nobody|没有人，无人
noise|噪声；喧闹声
noisy|吵闹的
noodle|面条
nose|鼻子
not|不，不是
note|笔记，记录
notebook|笔记本
nothing|没有任何东西
now|现在
number|数，数字
nurse|护士
o'clock|点钟
ocean|海洋
off|不在（某物）上面；从（某物）上移开
office|办公室
oh|噢
oilcloth|油布
OK|行，可以
old|年老的；相识很久的
on|在……上面
once|过去，曾经
one|一
only|仅仅
onto|到…… 上
open|打开
opera|歌剧；歌剧艺术
opinion|意见，看法，主张
or|或者
orange|橙色（的）
ostrich|鸵鸟
ouch|哎哟（突然感到疼痛时的叫声）
our|我们的
ourselves|我们自己
out|出去；往外，向外，出来
outside|在室外，在外面
owl|猫头鹰
own|自己的
owner|所有人
pack|收拾好
package|（包装食物等的）盒，包
paint|画，作画
painter|画家
pair|一对
panda|大熊猫
paper|纸
paper-cutting|剪纸
park|公园
parking|（车辆等的）停放
parrot|鹦鹉
party|聚会，宴会
past|晚于；在…… 之后
pay|付款
pearl|珍珠
peel|（水果和蔬菜的）外皮
pen|钢笔
pencil|铅笔
pencil case|笔袋；铅笔盒
people|人；人们
phew|啊，唷，唉
phone|电话
photo|照片，相片
piano|钢琴
pick|采，摘
picnic|野餐
picture|画，图画
piece|片；块
pig|猪
pillow|枕头
ping-pong|乒乓球运动
pink|粉红色（的）
place|地方，地点
plain|（大）平原
plane|飞机
planet|行星
plant|植物
play|玩，玩耍
player|运动员，选手，球员
playful|活泼的；爱玩的
playground|操场，运动场
please|请
pleasure|愉快，快乐
pocket money|零花钱
point|指
police|警察
police officer|警察，警官
police station|警察局，派出所
poor|贫穷的，贫困的
possible|可能的
postman|邮递员
pot|锅
power|力量，威力
practise|练习，实践，实习
prepare|筹备，做准备
present|礼物
pretty|好看的
primary|小学教育的
project|工程；项目；计划
protect|保护；防护
proud|自豪的，引以为荣的
pull|拉；扯；拖
puppet|（牵线）木偶；手偶
puppy|小狗
purple|紫色（的）
push|推；推动
put|放
puzzle|拼图游戏
Qatar|卡塔尔
question|问题，疑问
quick|快的，短时间的
quiet|安静的；轻声的
quietly|安静地；轻声地
quite|非常，十分
quiz|小测验，小考
rabbit|兔子
rain|雨
rainbow|彩虹
raindrop|雨点，雨滴
rainy|多雨的
rat|大老鼠
reach|伸手（以触碰某物）
read|阅读
ready|准备好（做某事）的；准备好的
real|真的，真正的
reason|原因，理由
receive|收到
red|红色（的）
relax|放松，休息
remember|纪念；记住
report|报道
restaurant|饭店，餐馆
rewrite|重写，改写
rice|米；米饭
ride|骑，骑自行车
right|正确的，对的
ring|（钟、铃）鸣响
river|江，河
road|路，道路
robe|长袍
robot|机器人
rock|石头，石子
rocket|火箭
roof|顶，顶部
room|房间
root|根
rope|绳
round|循环地，周而复始地
rover|行星车
rubbish|垃圾
rule|规定，规则
ruler|尺子，直尺
run|跑
run after|追逐，追赶
runny|流鼻涕的
sad|不愉快的，伤心的，难过的
safe|安全的，没有危险的；平安无事的
safety|安全
salad|沙拉
same|完全相同的，一模一样的
sandwich|三明治，夹心面包
satellite|人造卫星
Saturday|星期六
save|储蓄，存（钱）
say|说
scared|害怕的，恐惧的；紧张的
scarf|围巾
scene|景色，景象
school|学校
schoolbag|书包
science|科学
scientist|科学家
sculpture|雕塑，雕塑作品
sea|海，海洋
seal|海豹
season|季节
see|看见，看到
seed|种子，籽
seven|七
shake|发抖，颤抖
shape|形状，外形
share|共用；分享
shared|共享的
she|她
shine|发光，发亮；表现突出，出众
shiny|有光泽的
ship|大船
shirt|衬衫
shoe|鞋
shop|商店，店铺
shopkeeper|店主
short|个子矮的
shorts|短裤
should|应当，应该
shout|大声说，喊叫，呼喊
show|给……看
side|面，侧
sight|景物，景象
sign|指示牌，标牌
silk|丝绸
sing|唱，歌唱
Singapore|新加坡
sister|姐姐；妹妹
sit|坐
sit down|坐下
six|六
skate|滑冰，溜冰
ski|滑雪
skier|滑雪者
skirt|半身裙，裙子
sky|天，天空
sleep|睡，睡觉
sloth|树懒
slowly|缓慢地，慢慢地
small|小的
smell|闻到，嗅到
smile|微笑
snake|蛇
snow|雪
snowman|雪人
snowstorm|雪暴，暴风雪
snowy|多雪的，积雪的
so|这么，如此
so much|非常
soldier|士兵
some|一些，若干
someone|某人，有人
something|某物；某事
sometime|在某个时候
sometimes|有时
son|儿子
song|歌曲
soon|不久，即刻，很快
sore|疼痛的；酸痛的
sorry|对不起，很抱歉
space|空间
spaceship|宇宙飞船
spacesuit|航天服，宇航服
speak|说
speech|演说，演讲
spend|用（钱），花费
spirit|精神
splash|溅湿，往…… 上泼
sport|体育运动
spring|春天，春季
square kilometre|平方千米
squirrel|松鼠
stair|楼梯
stand|站立
stand up|站起来
star|明星，最出色者；星星
station|所；站；台；局
stay|停留，逗留，留下
steal|偷，窃取
stem|（植物的）茎，梗，柄
step|步；一步（的距离）
stick|木棍，拐杖
still|还，仍然
stone|石头
stop|停止，终止
story|故事
straight|笔直地
strange|奇怪的
stranger|陌生人
strawberry|草莓
street|大街，街道
string|线，细绳，带子
strong|强壮的，力气大的
student|学生
study|研究；仔细察看
subject|学科
subway|地铁
such|如此，非常
suddenly|突然
summer|夏天，夏季
sun|太阳
Sunday|星期日
sunflower|向日葵
sunny|阳光充足的
sunshine|阳光
supermarket|超市
sure|当然，好的
surface|表面
surprised|吃惊的，惊奇的
sushi|寿司
sweater|毛线衣，羊毛衫，针织衫
sweep|扫，打扫，清扫
sweet|甜蜜的
swim|游泳
T-shirt|T 恤（衫）
table|桌子
tai chi|太极
taikonaut|（中国的）航天员，宇航员
tail|尾巴
take off|脱下，脱掉（衣物）
talent|天资，天赋，才能
talk|讨论，商谈
tall|高的，高大的
taste|有……的味道
taxi|出租车，计程车
tea|茶；茶叶
teach|教，教授
teacher|教师，老师
teahouse|茶馆，茶楼
team|队
tear|飞跑，狂奔
tell|告诉，告知
ten|十
text|原文
than|比
thank|感谢，向……表示谢意
that|那，那个
the|（用于表示正在谈论一个已经提到过
the same|同样
their|他们的
them|他们；她们；它们
then|那么；然后，接下来
there|在那里
these|这些（this 的复数形式）
they|他们
thin|细的
thing|东西
think|想，认为
thirty|三十
this|这，这个
those|那些（that 的复数形式）
thought|想法
three|三
throat|喉咙，咽喉
through|穿过，通过
thunder|雷声
Thursday|星期四
tick-tock|滴答声
tidy|整理，收拾
tiger|老虎，虎
time|时间
tip|窍门，忠告，建议
tired|疲惫的，累的
title|题目，标题
to|（用于动词、名词或形容词后，使意思
to-do list|待办清单
today|今天
toe|脚趾
together|一起，一块儿
toilet|厕所，洗手间，卫生间
tomato|番茄，西红柿
tomorrow|（在）明天
too|也
tool|工具
toothache|牙痛
toothbrush|牙刷
touch|触摸，碰
town|镇，城镇
toy|玩具
trade|买卖，交易
train|火车，列车
training|训练，培训
tram|有轨电车
translate|翻译
trash|废物，垃圾
travel|旅行
treasure|珍宝
tree|树
trip|旅游；旅行，出行
trousers|裤子
truck|货车，卡车
trust|信任，相信
truth|事实，真相，实情
try|努力；尝试
try your best|尽最大努力
tsunami|海啸
Tuesday|星期二
turn|转身；转动
turn on|打开
TV|电视
twelve|十二
twin|双胞胎中的一个
two|二
type|类型
ukulele|尤克里里琴
umbrella|伞；雨伞
unanswered|未解答的，悬而未决的
uncle|叔叔，伯伯
under|在……下面；在……底下
underground|在地（面）下
understand|懂得，理解，明白
uniform|制服
upstairs|楼上
urgh|呃，呸
use|用，使用
vegetable|蔬菜
very|很，非常
very much|非常
video|录影，录像
view|视野；视线
village|乡村，村庄
visit|看望，拜访
voice|声音
volcanic|火山的
volleyball|排球（运动）
volunteer|志愿者
vote|选票
wake|醒来，睡醒
wake up|醒来
wall|墙
want|想要
warm|（使）温暖起来
warm up|（使）变暖
warning|警告，警示；告诫
wash|洗
watch|观察
water|给……浇水
waterfall|瀑布
wave|海浪
way|方式
we|我们
wear|穿；戴
weather|天气
Wednesday|星期三
week|星期，周
weekend|周末
welcome|欢迎
well|嗯；嗯，这个；健康的
west|西，西方
West|西方，西方世界
wet|湿的
whale|鲸
what|什么
what about|…… 怎么样
wheat|小麦
wheel|车轮
wheelchair|轮椅
when|什么时候
where|在哪里
whew|哟，哎呀
which|哪一个；哪些
white|白的，白色的
who|谁，什么人
whoosh|（呼呼地）飞快移动
whose|谁的
why|为什么
wide|…… 宽的
wife|妻子，太太
wild|野生的
will|将，会，要（用于构成将来时）
win|获胜，赢
wind|风
window|窗户
windy|风大的；多风的
wing|翅膀，翼
winner|获胜者，获胜的人
winter|冬天，冬季
wisdom|智慧，才智
wish|愿望
with|和……一起
without|缺乏，没有
woman|成年女子，妇女
wonder|奇迹，奇观
wonderful|令人惊叹的，奇妙的
woof|汪汪（形容狗吠声）
word|字，词，单词
work|事情，工作
worker|技术工人
world|世界
worried|担心的；担心的，焦虑的
worry|担心
would|会（用于设想的或希望发生的情形）
wow|呀，哇
write|写；书写；写字
writer|作家
wrong|不正确的，错误的
yard|庭院
year|年；年度
yellow|黄色（的）
yes|是，对
yesterday|昨天
you|你；你们
young|年幼的；年轻的
your|你的；你们的
yummy|美味的，很好吃的
zebra|斑马
zoo|动物园
